study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB7703	SAMEA3112897	ERX625148	ERR670170	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR670/ERR670170/ERR670170_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR670/ERR670170/ERR670170_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR670/ERR670170/3151-7-1-MS28F-388R_S166_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR670/ERR670170/3151-7-1-MS28F-388R_S166_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR670/ERR670170
PRJEB7703	SAMEA3112898	ERX625149	ERR670171	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR670/ERR670171/ERR670171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR670/ERR670171/ERR670171_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR670/ERR670171/3151-9-1-MS28F-388R_S168_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR670/ERR670171/3151-9-1-MS28F-388R_S168_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR670/ERR670171
PRJEB7703	SAMEA3112899	ERX625150	ERR670172	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR670/ERR670172/ERR670172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR670/ERR670172/ERR670172_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR670/ERR670172/3151-38-MS28F-388R_S7_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR670/ERR670172/3151-38-MS28F-388R_S7_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR670/ERR670172
PRJEB7703	SAMEA3112900	ERX625151	ERR670173	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR670/ERR670173/ERR670173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR670/ERR670173/ERR670173_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR670/ERR670173/3151-11-1-MS28F-388R_S170_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR670/ERR670173/3151-11-1-MS28F-388R_S170_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR670/ERR670173
PRJEB7703	SAMEA3112901	ERX625152	ERR670174	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR670/ERR670174/ERR670174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR670/ERR670174/ERR670174_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR670/ERR670174/3151-19-1-MS28F-388R_S178_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR670/ERR670174/3151-19-1-MS28F-388R_S178_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR670/ERR670174
PRJEB7703	SAMEA3112902	ERX625153	ERR670175	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR670/ERR670175/ERR670175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR670/ERR670175/ERR670175_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR670/ERR670175/3151-21-1-MS28F-388R_S180_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR670/ERR670175/3151-21-1-MS28F-388R_S180_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR670/ERR670175
PRJEB7703	SAMEA3112903	ERX625154	ERR670176	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR670/ERR670176/ERR670176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR670/ERR670176/ERR670176_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR670/ERR670176/3151-18-1-MS28F-388R_S177_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR670/ERR670176/3151-18-1-MS28F-388R_S177_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR670/ERR670176
PRJEB7703	SAMEA3112904	ERX625155	ERR670177	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR670/ERR670177/ERR670177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR670/ERR670177/ERR670177_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR670/ERR670177/3151-13-1-MS28F-388R_S12_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR670/ERR670177/3151-13-1-MS28F-388R_S12_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR670/ERR670177
PRJEB7703	SAMEA3112905	ERX625156	ERR670178	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR670/ERR670178/ERR670178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR670/ERR670178/ERR670178_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR670/ERR670178/3151-16-1-MS28F-388R_S175_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR670/ERR670178/3151-16-1-MS28F-388R_S175_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR670/ERR670178
PRJEB7703	SAMEA3112906	ERX625157	ERR670179	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR670/ERR670179/ERR670179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR670/ERR670179/ERR670179_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR670/ERR670179/3151-14-1-MS28F-388R_S173_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR670/ERR670179/3151-14-1-MS28F-388R_S173_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR670/ERR670179
