Run,ENA-CHECKLIST,ENA-SPOT-COUNT,ENA-BASE-COUNT,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,Sample,Read depth
ERR1225290,ERC000011,68806,20004174,2016-12-27,2017-01-06,ERS1039165,
ERR1225291,ERC000011,75842,22213172,2016-12-27,2017-01-06,ERS1039166,
ERR1225292,ERC000011,61660,17933985,2016-12-27,2017-01-06,ERS1039167,
ERR1225293,ERC000011,62270,18192076,2016-12-27,2017-01-06,ERS1039168,
ERR1225294,ERC000011,62529,18068756,2016-12-27,2017-01-06,ERS1039169,
ERR1225295,ERC000011,50242,14713638,2016-12-27,2017-01-06,ERS1039170,
ERR1225296,ERC000011,88663,25905298,2016-12-27,2017-01-06,ERS1039171,
ERR1225297,ERC000011,89080,26100554,2016-12-27,2017-01-06,ERS1039172,
ERR1225298,ERC000011,60258,17663530,2016-12-27,2017-01-06,ERS1039173,
ERR1225299,ERC000011,69341,20267538,2016-12-27,2017-01-06,ERS1039174,
ERR1225300,ERC000011,64691,18931315,2016-12-27,2017-01-06,ERS1039175,
ERR1225301,ERC000011,64035,18807962,2016-12-27,2017-01-06,ERS1039176,
ERR1225302,ERC000011,68550,19973634,2016-12-27,2017-01-06,ERS1039177,
ERR1225303,ERC000011,54909,16031286,2016-12-27,2017-01-06,ERS1039178,
ERR1225304,ERC000011,77406,22501785,2016-12-27,2017-01-06,ERS1039179,
ERR1225305,ERC000011,76871,22070263,2016-12-27,2017-01-06,ERS1039180,
ERR1225306,ERC000011,105076,30515432,2016-12-27,2017-01-06,ERS1039181,
ERR1225307,ERC000011,113546,33061100,2016-12-27,2017-01-06,ERS1039182,
ERR1225308,ERC000011,87095,25529260,2016-12-27,2017-01-06,ERS1039183,
ERR1225309,ERC000011,63932,18774858,2016-12-27,2017-01-06,ERS1039184,
ERR1225310,ERC000011,42590,12433372,2016-12-27,2017-01-06,ERS1039185,
ERR1225311,ERC000011,43945,12822103,2016-12-27,2017-01-06,ERS1039186,
ERR1225312,ERC000011,44137,12911812,2016-12-27,2017-01-06,ERS1039187,
ERR1225313,ERC000011,53738,15690806,2016-12-27,2017-01-06,ERS1039188,
ERR1225314,ERC000011,64821,18976201,2016-12-27,2017-01-06,ERS1039189,
ERR1225315,ERC000011,50005,14607714,2016-12-27,2017-01-06,ERS1039190,
ERR1225316,ERC000011,39007,11382730,2016-12-27,2017-01-06,ERS1039191,
ERR1225317,ERC000011,39703,11541573,2016-12-27,2017-01-06,ERS1039192,
ERR1225318,ERC000011,27501,8056440,2016-12-27,2017-01-06,ERS1039193,
ERR1225319,ERC000011,42669,12449647,2016-12-27,2017-01-06,ERS1039194,
ERR1225320,ERC000011,37657,10985894,2016-12-27,2017-01-06,ERS1039195,
ERR1225321,ERC000011,34292,9995749,2016-12-27,2017-01-06,ERS1039196,
ERR1225322,ERC000011,33815,9664554,2016-12-27,2017-01-06,ERS1039197,
ERR1225323,ERC000011,62843,16741520,2016-12-27,2017-01-06,ERS1039198,
ERR1225324,ERC000011,40413,11694653,2016-12-27,2017-01-06,ERS1039199,
ERR1225325,ERC000011,37866,10981043,2016-12-27,2017-01-06,ERS1039200,
ERR1225326,ERC000011,34149,9878643,2016-12-27,2017-01-06,ERS1039201,
ERR1225327,ERC000011,32772,9539273,2016-12-27,2017-01-06,ERS1039202,
ERR1225328,ERC000011,20197,5923927,2016-12-27,2017-01-06,ERS1039203,
ERR1225329,ERC000011,33430,9801387,2016-12-27,2017-01-06,ERS1039204,
ERR1225330,ERC000011,44274,12903216,2016-12-27,2017-01-06,ERS1039205,
ERR1225331,ERC000011,40927,11098861,2016-12-27,2017-01-06,ERS1039206,
ERR1225332,ERC000011,56742,15576738,2016-12-27,2017-01-06,ERS1039207,
ERR1225333,ERC000011,37020,10725174,2016-12-27,2017-01-06,ERS1039208,
ERR1225334,ERC000011,37967,11055575,2016-12-27,2017-01-06,ERS1039209,
ERR1225335,ERC000011,43199,12570261,2016-12-27,2017-01-06,ERS1039210,
ERR1225336,ERC000011,49554,14495051,2016-12-27,2017-01-06,ERS1039211,
ERR1225337,ERC000011,39931,11604165,2016-12-27,2017-01-06,ERS1039212,
ERR1225338,ERC000011,51023,14976700,2016-12-27,2017-01-06,ERS1039213,
ERR1225339,ERC000011,45213,13229705,2016-12-27,2017-01-06,ERS1039214,
ERR1225340,ERC000011,72920,21236439,2016-12-27,2017-01-06,ERS1039215,
ERR1225341,ERC000011,58076,16938744,2016-12-27,2017-01-06,ERS1039216,
ERR1225342,ERC000011,49298,14401392,2016-12-27,2017-01-06,ERS1039217,
ERR1225343,ERC000011,39588,11631629,2016-12-27,2017-01-06,ERS1039218,
ERR1225344,ERC000011,55148,16084425,2016-12-27,2017-01-06,ERS1039219,
ERR1225345,ERC000011,63662,18481430,2016-12-27,2017-01-06,ERS1039220,
ERR1225346,ERC000011,61789,17977550,2016-12-27,2017-01-06,ERS1039221,
ERR1225347,ERC000011,59271,17234822,2016-12-27,2017-01-06,ERS1039222,
ERR1225348,ERC000011,47303,13823231,2016-12-27,2017-01-06,ERS1039223,
ERR1225349,ERC000011,44146,12886356,2016-12-27,2017-01-06,ERS1039224,
ERR1225350,ERC000011,53459,15555698,2016-12-27,2017-01-06,ERS1039225,
ERR1225351,ERC000011,51456,15015368,2016-12-27,2017-01-06,ERS1039226,
ERR1225352,ERC000011,59175,17292886,2016-12-27,2017-01-06,ERS1039227,
ERR1225353,ERC000011,67871,19862731,2016-12-27,2017-01-06,ERS1039228,
ERR1225354,ERC000011,39968,11730911,2016-12-27,2017-01-06,ERS1039229,
ERR1225355,ERC000011,37113,10807528,2016-12-27,2017-01-06,ERS1039230,
ERR1225356,ERC000011,43144,12635820,2016-12-27,2017-01-06,ERS1039231,
ERR1225357,ERC000011,40321,11752851,2016-12-27,2017-01-06,ERS1039232,
