Run,ENA-CHECKLIST,ENA-SPOT-COUNT,ENA-BASE-COUNT,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,Sample,Read depth
ERR1225527,ERC000011,41240,12035982,2016-12-27,2017-01-06,ERS1039402,
ERR1225528,ERC000011,41398,12126853,2016-12-27,2017-01-06,ERS1039403,
ERR1225529,ERC000011,44491,12984269,2016-12-27,2017-01-06,ERS1039404,
ERR1225530,ERC000011,264856,77175586,2016-12-27,2017-01-06,ERS1039405,
ERR1225531,ERC000011,44730,13139011,2016-12-27,2017-01-06,ERS1039406,
ERR1225532,ERC000011,27274,7962669,2016-12-27,2017-01-06,ERS1039407,
ERR1225533,ERC000011,34651,10176061,2016-12-27,2017-01-06,ERS1039408,
ERR1225534,ERC000011,29148,8519023,2016-12-27,2017-01-06,ERS1039409,
ERR1225535,ERC000011,50432,14807251,2016-12-27,2017-01-06,ERS1039410,
ERR1225536,ERC000011,49023,14358907,2016-12-27,2017-01-06,ERS1039411,
ERR1225537,ERC000011,45223,13224589,2016-12-27,2017-01-06,ERS1039412,
ERR1225538,ERC000011,44768,13041586,2016-12-27,2017-01-06,ERS1039413,
ERR1225539,ERC000011,27903,8188560,2016-12-27,2017-01-06,ERS1039414,
ERR1225540,ERC000011,41129,11911981,2016-12-27,2017-01-06,ERS1039415,
ERR1225541,ERC000011,49760,14619346,2016-12-27,2017-01-06,ERS1039416,
ERR1225542,ERC000011,50760,14839782,2016-12-27,2017-01-06,ERS1039417,
ERR1225543,ERC000011,65487,19159942,2016-12-27,2017-01-06,ERS1039418,
ERR1225544,ERC000011,66134,19351020,2016-12-27,2017-01-06,ERS1039419,
ERR1225545,ERC000011,37050,10849580,2016-12-27,2017-01-06,ERS1039420,
ERR1225546,ERC000011,62157,18181234,2016-12-27,2017-01-06,ERS1039421,
ERR1225547,ERC000011,47307,13841974,2016-12-27,2017-01-06,ERS1039422,
ERR1225548,ERC000011,64420,18895060,2016-12-27,2017-01-06,ERS1039423,
ERR1225549,ERC000011,61130,18005265,2016-12-27,2017-01-06,ERS1039424,
ERR1225550,ERC000011,53518,15685881,2016-12-27,2017-01-06,ERS1039425,
ERR1225551,ERC000011,41619,12196911,2016-12-27,2017-01-06,ERS1039426,
ERR1225552,ERC000011,76015,21329860,2016-12-27,2017-01-06,ERS1039427,
ERR1225553,ERC000011,78955,23035594,2016-12-27,2017-01-06,ERS1039428,
ERR1225554,ERC000011,72956,21370599,2016-12-27,2017-01-06,ERS1039429,
ERR1225555,ERC000011,66634,19589068,2016-12-27,2017-01-06,ERS1039430,
ERR1225556,ERC000011,66859,19545367,2016-12-27,2017-01-06,ERS1039431,
ERR1225557,ERC000011,40666,11943354,2016-12-27,2017-01-06,ERS1039432,
ERR1225558,ERC000011,51652,15181704,2016-12-27,2017-01-06,ERS1039433,
ERR1225559,ERC000011,27025,7928753,2016-12-27,2017-01-06,ERS1039434,
ERR1225560,ERC000011,46780,13718381,2016-12-27,2017-01-06,ERS1039435,
ERR1225561,ERC000011,74974,21908207,2016-12-27,2017-01-06,ERS1039436,
ERR1225562,ERC000011,66887,19574425,2016-12-27,2017-01-06,ERS1039437,
ERR1225563,ERC000011,50656,14746439,2016-12-27,2017-01-06,ERS1039438,
ERR1225564,ERC000011,65564,19101267,2016-12-27,2017-01-06,ERS1039439,
ERR1225565,ERC000011,27128,7950226,2016-12-27,2017-01-06,ERS1039440,
ERR1225566,ERC000011,46792,13721100,2016-12-27,2017-01-06,ERS1039441,
ERR1225567,ERC000011,75807,22267782,2016-12-27,2017-01-06,ERS1039442,
ERR1225568,ERC000011,60839,17735229,2016-12-27,2017-01-06,ERS1039443,
ERR1225569,ERC000011,80735,23426196,2016-12-27,2017-01-06,ERS1039444,
ERR1225570,ERC000011,68869,20118359,2016-12-27,2017-01-06,ERS1039445,
ERR1225571,ERC000011,60011,17564622,2016-12-27,2017-01-06,ERS1039446,
ERR1225572,ERC000011,40293,11852374,2016-12-27,2017-01-06,ERS1039447,
ERR1225573,ERC000011,52142,15310177,2016-12-27,2017-01-06,ERS1039448,
ERR1225574,ERC000011,56938,16610256,2016-12-27,2017-01-06,ERS1039449,
ERR1225575,ERC000011,39052,11508500,2016-12-27,2017-01-06,ERS1039450,
ERR1225576,ERC000011,59925,17375632,2016-12-27,2017-01-06,ERS1039451,
ERR1225577,ERC000011,62723,18188594,2016-12-27,2017-01-06,ERS1039452,
ERR1225578,ERC000011,60343,17603497,2016-12-27,2017-01-06,ERS1039453,
ERR1225579,ERC000011,78386,22919292,2016-12-27,2017-01-06,ERS1039454,
ERR1225580,ERC000011,68823,20061879,2016-12-27,2017-01-06,ERS1039455,
ERR1225581,ERC000011,59501,17454016,2016-12-27,2017-01-06,ERS1039456,
ERR1225582,ERC000011,81820,24016325,2016-12-27,2017-01-06,ERS1039457,
ERR1225583,ERC000011,51951,15146420,2016-12-27,2017-01-06,ERS1039458,
ERR1225584,ERC000011,54414,15940101,2016-12-27,2017-01-06,ERS1039459,
ERR1225585,ERC000011,38115,11174218,2016-12-27,2017-01-06,ERS1039460,
ERR1225586,ERC000011,52691,15430855,2016-12-27,2017-01-06,ERS1039461,
ERR1225587,ERC000011,45550,13372001,2016-12-27,2017-01-06,ERS1039462,
ERR1225588,ERC000011,40419,11869242,2016-12-27,2017-01-06,ERS1039463,
ERR1225589,ERC000011,48297,14213267,2016-12-27,2017-01-06,ERS1039464,
ERR1225590,ERC000011,56846,16608684,2016-12-27,2017-01-06,ERS1039465,
ERR1225591,ERC000011,69164,20233888,2016-12-27,2017-01-06,ERS1039466,
ERR1225592,ERC000011,49770,14518759,2016-12-27,2017-01-06,ERS1039467,
ERR1225593,ERC000011,40369,11813281,2016-12-27,2017-01-06,ERS1039468,
ERR1225594,ERC000011,43122,12617499,2016-12-27,2017-01-06,ERS1039469,
ERR1225595,ERC000011,57720,16957606,2016-12-27,2017-01-06,ERS1039470,
ERR1225596,ERC000011,45163,13156454,2016-12-27,2017-01-06,ERS1039471,
ERR1225597,ERC000011,50047,14509567,2016-12-27,2017-01-06,ERS1039472,
ERR1225598,ERC000011,47973,13956570,2016-12-27,2017-01-06,ERS1039473,
ERR1225599,ERC000011,41269,11987618,2016-12-27,2017-01-06,ERS1039474,
ERR1225600,ERC000011,39695,11374264,2016-12-27,2017-01-06,ERS1039475,
ERR1225601,ERC000011,54451,15962591,2016-12-27,2017-01-06,ERS1039476,
ERR1225602,ERC000011,52284,15375881,2016-12-27,2017-01-06,ERS1039477,
ERR1225603,ERC000011,61355,17995239,2016-12-27,2017-01-06,ERS1039478,
ERR1225604,ERC000011,38161,11203542,2016-12-27,2017-01-06,ERS1039479,
ERR1225605,ERC000011,35758,10467089,2016-12-27,2017-01-06,ERS1039480,
ERR1225606,ERC000011,50102,14672084,2016-12-27,2017-01-06,ERS1039481,
ERR1225607,ERC000011,43300,12575488,2016-12-27,2017-01-06,ERS1039482,
ERR1225608,ERC000011,48557,13787647,2016-12-27,2017-01-06,ERS1039483,
ERR1225609,ERC000011,51899,14463475,2016-12-27,2017-01-06,ERS1039484,
ERR1225610,ERC000011,43139,12618837,2016-12-27,2017-01-06,ERS1039485,
ERR1225611,ERC000011,63623,18499194,2016-12-27,2017-01-06,ERS1039486,
ERR1225612,ERC000011,27546,8073491,2016-12-27,2017-01-06,ERS1039487,
ERR1225613,ERC000011,32770,9585039,2016-12-27,2017-01-06,ERS1039488,
ERR1225614,ERC000011,37898,11083069,2016-12-27,2017-01-06,ERS1039489,
ERR1225615,ERC000011,33342,9691642,2016-12-27,2017-01-06,ERS1039490,
ERR1225616,ERC000011,42392,12329179,2016-12-27,2017-01-06,ERS1039491,
ERR1225617,ERC000011,46267,13421798,2016-12-27,2017-01-06,ERS1039492,
ERR1225618,ERC000011,64351,18665122,2016-12-27,2017-01-06,ERS1039493,
ERR1225619,ERC000011,52316,15386526,2016-12-27,2017-01-06,ERS1039494,
ERR1225620,ERC000011,46575,13648947,2016-12-27,2017-01-06,ERS1039495,
ERR1225621,ERC000011,50287,14739708,2016-12-27,2017-01-06,ERS1039496,
ERR1225622,ERC000011,51793,15118752,2016-12-27,2017-01-06,ERS1039497,
ERR1225623,ERC000011,51099,14966343,2016-12-27,2017-01-06,ERS1039498,
ERR1225624,ERC000011,60486,17637023,2016-12-27,2017-01-06,ERS1039499,
ERR1225625,ERC000011,36171,10530786,2016-12-27,2017-01-06,ERS1039500,
ERR1225626,ERC000011,40541,11835893,2016-12-27,2017-01-06,ERS1039501,
ERR1225627,ERC000011,31445,9218265,2016-12-27,2017-01-06,ERS1039502,
ERR1225628,ERC000011,30534,8934458,2016-12-27,2017-01-06,ERS1039503,
ERR1225629,ERC000011,28077,8222830,2016-12-27,2017-01-06,ERS1039504,
ERR1225630,ERC000011,41287,12077945,2016-12-27,2017-01-06,ERS1039505,
ERR1225631,ERC000011,60469,17716784,2016-12-27,2017-01-06,ERS1039506,
ERR1225632,ERC000011,31813,9274683,2016-12-27,2017-01-06,ERS1039507,
ERR1225633,ERC000011,30955,9016164,2016-12-27,2017-01-06,ERS1039508,
ERR1225634,ERC000011,46988,13843938,2016-12-27,2017-01-06,ERS1039509,
ERR1225635,ERC000011,32897,9647617,2016-12-27,2017-01-06,ERS1039510,
ERR1225636,ERC000011,46316,13613939,2016-12-27,2017-01-06,ERS1039511,
ERR1225637,ERC000011,45329,13202148,2016-12-27,2017-01-06,ERS1039512,
ERR1225638,ERC000011,58829,17256502,2016-12-27,2017-01-06,ERS1039513,
ERR1225639,ERC000011,36554,10743259,2016-12-27,2017-01-06,ERS1039514,
ERR1225640,ERC000011,38216,11061234,2016-12-27,2017-01-06,ERS1039515,
ERR1225641,ERC000011,35713,10400832,2016-12-27,2017-01-06,ERS1039516,
ERR1225642,ERC000011,35333,10371770,2016-12-27,2017-01-06,ERS1039517,
ERR1225643,ERC000011,42882,12482431,2016-12-27,2017-01-06,ERS1039518,
ERR1225644,ERC000011,40561,11818320,2016-12-27,2017-01-06,ERS1039519,
ERR1225645,ERC000011,45876,13365940,2016-12-27,2017-01-06,ERS1039520,
ERR1225646,ERC000011,33938,9963759,2016-12-27,2017-01-06,ERS1039521,
ERR1225647,ERC000011,65231,19182466,2016-12-27,2017-01-06,ERS1039522,
ERR1225648,ERC000011,53046,15545601,2016-12-27,2017-01-06,ERS1039523,
ERR1225649,ERC000011,40259,11791952,2016-12-27,2017-01-06,ERS1039524,
ERR1225650,ERC000011,50540,14812666,2016-12-27,2017-01-06,ERS1039525,
ERR1225651,ERC000011,51841,15209238,2016-12-27,2017-01-06,ERS1039526,
ERR1225652,ERC000011,47108,13727924,2016-12-27,2017-01-06,ERS1039527,
ERR1225653,ERC000011,48898,14345409,2016-12-27,2017-01-06,ERS1039528,
ERR1225654,ERC000011,61655,18036338,2016-12-27,2017-01-06,ERS1039529,
ERR1225655,ERC000011,64112,18861920,2016-12-27,2017-01-06,ERS1039530,
ERR1225656,ERC000011,77092,22533591,2016-12-27,2017-01-06,ERS1039531,
ERR1225657,ERC000011,55485,16255242,2016-12-27,2017-01-06,ERS1039532,
ERR1225658,ERC000011,50796,14858823,2016-12-27,2017-01-06,ERS1039533,
ERR1225659,ERC000011,31526,9228792,2016-12-27,2017-01-06,ERS1039534,
ERR1225660,ERC000011,48972,14343820,2016-12-27,2017-01-06,ERS1039535,
ERR1225661,ERC000011,44518,13037869,2016-12-27,2017-01-06,ERS1039536,
ERR1225662,ERC000011,69564,20417064,2016-12-27,2017-01-06,ERS1039537,
ERR1225663,ERC000011,84113,24593430,2016-12-27,2017-01-06,ERS1039538,
ERR1225664,ERC000011,68645,19920884,2016-12-27,2017-01-06,ERS1039539,
ERR1225665,ERC000011,47183,13830775,2016-12-27,2017-01-06,ERS1039540,
ERR1225666,ERC000011,48435,14162677,2016-12-27,2017-01-06,ERS1039541,
ERR1225667,ERC000011,46020,13491823,2016-12-27,2017-01-06,ERS1039542,
ERR1225668,ERC000011,41829,12203950,2016-12-27,2017-01-06,ERS1039543,
ERR1225669,ERC000011,53437,15602403,2016-12-27,2017-01-06,ERS1039544,
ERR1225670,ERC000011,72234,21213928,2016-12-27,2017-01-06,ERS1039545,
ERR1225671,ERC000011,73356,21613304,2016-12-27,2017-01-06,ERS1039546,
ERR1225672,ERC000011,104621,30844368,2016-12-27,2017-01-06,ERS1039547,
ERR1225673,ERC000011,30758,9023587,2016-12-27,2017-01-06,ERS1039548,
ERR1225674,ERC000011,45240,13272504,2016-12-27,2017-01-06,ERS1039549,
ERR1225675,ERC000011,46076,13486857,2016-12-27,2017-01-06,ERS1039550,
ERR1225676,ERC000011,78071,23028644,2016-12-27,2017-01-06,ERS1039551,
ERR1225677,ERC000011,62420,18309536,2016-12-27,2017-01-06,ERS1039552,
ERR1225678,ERC000011,69982,20454244,2016-12-27,2017-01-06,ERS1039553,
ERR1225679,ERC000011,60619,17640639,2016-12-27,2017-01-06,ERS1039554,
ERR1225680,ERC000011,66127,19418291,2016-12-27,2017-01-06,ERS1039555,
ERR1225681,ERC000011,32353,9447788,2016-12-27,2017-01-06,ERS1039556,
ERR1225682,ERC000011,70973,20815750,2016-12-27,2017-01-06,ERS1039557,
ERR1225683,ERC000011,85891,25074268,2016-12-27,2017-01-06,ERS1039558,
ERR1225684,ERC000011,40790,11880609,2016-12-27,2017-01-06,ERS1039559,
ERR1225685,ERC000011,49397,14513735,2016-12-27,2017-01-06,ERS1039560,
ERR1225686,ERC000011,56208,16311536,2016-12-27,2017-01-06,ERS1039561,
ERR1225687,ERC000011,59124,17290589,2016-12-27,2017-01-06,ERS1039562,
ERR1225688,ERC000011,47805,14004703,2016-12-27,2017-01-06,ERS1039563,
