study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB20159	SAMEA103942178	ERX1961702	ERR1901331	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/001/ERR1901331/ERR1901331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/001/ERR1901331/ERR1901331_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR190/ERR1901331/miseq70_8_71_Urin_03_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR190/ERR1901331/miseq70_8_71_Urin_03_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR190/001/ERR1901331
PRJEB20159	SAMEA103942179	ERX1961703	ERR1901332	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/002/ERR1901332/ERR1901332_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/002/ERR1901332/ERR1901332_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR190/ERR1901332/miseq70_8_72_Urin_04_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR190/ERR1901332/miseq70_8_72_Urin_04_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR190/002/ERR1901332
PRJEB20159	SAMEA103942180	ERX1961704	ERR1901333	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/003/ERR1901333/ERR1901333_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/003/ERR1901333/ERR1901333_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR190/ERR1901333/miseq70_8_75_Urin_07_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR190/ERR1901333/miseq70_8_75_Urin_07_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR190/003/ERR1901333
PRJEB20159	SAMEA103942181	ERX1961705	ERR1901334	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/004/ERR1901334/ERR1901334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/004/ERR1901334/ERR1901334_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR190/ERR1901334/miseq70_8_76_Urin_08_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR190/ERR1901334/miseq70_8_76_Urin_08_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR190/004/ERR1901334
PRJEB20159	SAMEA103942182	ERX1961706	ERR1901335	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/005/ERR1901335/ERR1901335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/005/ERR1901335/ERR1901335_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR190/ERR1901335/miseq70_8_77_Urin_09_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR190/ERR1901335/miseq70_8_77_Urin_09_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR190/005/ERR1901335
PRJEB20159	SAMEA103942183	ERX1961707	ERR1901336	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/006/ERR1901336/ERR1901336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/006/ERR1901336/ERR1901336_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR190/ERR1901336/miseq70_8_78_Urin_10_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR190/ERR1901336/miseq70_8_78_Urin_10_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR190/006/ERR1901336
PRJEB20159	SAMEA103942184	ERX1961708	ERR1901337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/007/ERR1901337/ERR1901337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/007/ERR1901337/ERR1901337_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR190/ERR1901337/miseq70_8_79_Urin_11_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR190/ERR1901337/miseq70_8_79_Urin_11_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR190/007/ERR1901337
PRJEB20159	SAMEA103942185	ERX1961709	ERR1901338	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/008/ERR1901338/ERR1901338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/008/ERR1901338/ERR1901338_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR190/ERR1901338/miseq70_8_80_Urin_12_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR190/ERR1901338/miseq70_8_80_Urin_12_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR190/008/ERR1901338
PRJEB20159	SAMEA103942186	ERX1961710	ERR1901339	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/009/ERR1901339/ERR1901339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/009/ERR1901339/ERR1901339_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR190/ERR1901339/miseq70_8_81_Urin_13_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR190/ERR1901339/miseq70_8_81_Urin_13_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR190/009/ERR1901339
PRJEB20159	SAMEA103942187	ERX1961711	ERR1901340	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/000/ERR1901340/ERR1901340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/000/ERR1901340/ERR1901340_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR190/ERR1901340/miseq70_8_82_Urin_14_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR190/ERR1901340/miseq70_8_82_Urin_14_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR190/000/ERR1901340
