study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB7756	SAMEA3134154	ERX629968	ERR675001	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675001/ERR675001_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675001/ERR675001_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675001/3151-A10-MS28F-388R_S68_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675001/3151-A10-MS28F-388R_S68_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR675/ERR675001
PRJEB7756	SAMEA3134155	ERX629969	ERR675002	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675002/ERR675002_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675002/ERR675002_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675002/3151-A11-MS28F-388R_S69_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675002/3151-A11-MS28F-388R_S69_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR675/ERR675002
PRJEB7756	SAMEA3134156	ERX629970	ERR675003	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675003/ERR675003_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675003/ERR675003_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675003/3151-A12-MS28F-388R_S70_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675003/3151-A12-MS28F-388R_S70_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR675/ERR675003
PRJEB7756	SAMEA3134157	ERX629971	ERR675004	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675004/ERR675004_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675004/ERR675004_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675004/3151-A13-MS28F-388R_S71_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675004/3151-A13-MS28F-388R_S71_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR675/ERR675004
PRJEB7756	SAMEA3134158	ERX629972	ERR675005	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675005/ERR675005_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675005/ERR675005_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675005/3151-A14-MS28F-388R_S72_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675005/3151-A14-MS28F-388R_S72_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR675/ERR675005
PRJEB7756	SAMEA3134159	ERX629973	ERR675006	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675006/ERR675006_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675006/ERR675006_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675006/3151-A15-MS28F-388R_S73_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675006/3151-A15-MS28F-388R_S73_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR675/ERR675006
PRJEB7756	SAMEA3134160	ERX629974	ERR675007	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675007/ERR675007_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675007/ERR675007_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675007/3151-A19-MS28F-388R_S77_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675007/3151-A19-MS28F-388R_S77_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR675/ERR675007
PRJEB7756	SAMEA3134161	ERX629975	ERR675008	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675008/ERR675008_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675008/ERR675008_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675008/3151-A1-MS28F-388R_S59_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675008/3151-A1-MS28F-388R_S59_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR675/ERR675008
PRJEB7756	SAMEA3134162	ERX629976	ERR675009	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675009/ERR675009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675009/ERR675009_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675009/3151-A20-MS28F-388R_S3_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675009/3151-A20-MS28F-388R_S3_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR675/ERR675009
PRJEB7756	SAMEA3134163	ERX629977	ERR675010	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675010/ERR675010_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675010/ERR675010_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675010/3151-A26-MS28F-388R_S84_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675010/3151-A26-MS28F-388R_S84_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR675/ERR675010
PRJEB7756	SAMEA3134164	ERX629978	ERR675011	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675011/ERR675011_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675011/ERR675011_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675011/3151-A27-MS28F-388R_S85_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675011/3151-A27-MS28F-388R_S85_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR675/ERR675011
PRJEB7756	SAMEA3134165	ERX629979	ERR675012	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675012/ERR675012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675012/ERR675012_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675012/3151-A28-MS28F-388R_S86_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675012/3151-A28-MS28F-388R_S86_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR675/ERR675012
PRJEB7756	SAMEA3134166	ERX629980	ERR675013	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675013/ERR675013_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675013/ERR675013_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675013/3151-A29-MS28F-388R_S87_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675013/3151-A29-MS28F-388R_S87_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR675/ERR675013
PRJEB7756	SAMEA3134167	ERX629981	ERR675014	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675014/ERR675014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675014/ERR675014_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675014/3151-A30-MS28F-388R_S88_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675014/3151-A30-MS28F-388R_S88_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR675/ERR675014
PRJEB7756	SAMEA3134168	ERX629982	ERR675015	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675015/ERR675015_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675015/ERR675015_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675015/3151-A31-MS28F-388R_S89_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675015/3151-A31-MS28F-388R_S89_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR675/ERR675015
PRJEB7756	SAMEA3134169	ERX629983	ERR675016	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675016/ERR675016_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675016/ERR675016_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675016/3151-A32-MS28F-388R_S90_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675016/3151-A32-MS28F-388R_S90_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR675/ERR675016
PRJEB7756	SAMEA3134170	ERX629984	ERR675017	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675017/ERR675017_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675017/ERR675017_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675017/3151-A33-MS28F-388R_S91_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675017/3151-A33-MS28F-388R_S91_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR675/ERR675017
PRJEB7756	SAMEA3134171	ERX629985	ERR675018	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675018/ERR675018_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR675/ERR675018/ERR675018_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675018/3151-A34-MS28F-388R_S92_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR675/ERR675018/3151-A34-MS28F-388R_S92_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR675/ERR675018
