study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB4606	SAMEA2189191	ERX314150	ERR341301	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/ERR341301/ERR341301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/ERR341301/ERR341301_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR341301/BV1U.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR341301/BV1U.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR341/ERR341301
PRJEB4606	SAMEA2189192	ERX314151	ERR341302	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/ERR341302/ERR341302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/ERR341302/ERR341302_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR341302/BV1D.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR341302/BV1D.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR341/ERR341302
PRJEB4606	SAMEA2189193	ERX314152	ERR341303	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/ERR341303/ERR341303_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/ERR341303/ERR341303_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR341303/BV2U.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR341303/BV2U.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR341/ERR341303
PRJEB4606	SAMEA2189194	ERX314153	ERR341304	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/ERR341304/ERR341304_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/ERR341304/ERR341304_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR341304/BV2D.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR341304/BV2D.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR341/ERR341304
PRJEB4606	SAMEA2189195	ERX314154	ERR341305	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/ERR341305/ERR341305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/ERR341305/ERR341305_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR341305/BV3U.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR341305/BV3U.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR341/ERR341305
PRJEB4606	SAMEA2189196	ERX314155	ERR341306	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/ERR341306/ERR341306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/ERR341306/ERR341306_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR341306/BV3D.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR341306/BV3D.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR341/ERR341306
PRJEB4606	SAMEA2189197	ERX314156	ERR341307	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/ERR341307/ERR341307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/ERR341307/ERR341307_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR341307/BV4U.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR341307/BV4U.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR341/ERR341307
PRJEB4606	SAMEA2189198	ERX314157	ERR341308	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/ERR341308/ERR341308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/ERR341308/ERR341308_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR341308/BV4D.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR341308/BV4D.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR341/ERR341308
PRJEB4606	SAMEA2189199	ERX314158	ERR341309	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/ERR341309/ERR341309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/ERR341309/ERR341309_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR341309/BV5U.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR341309/BV5U.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR341/ERR341309
PRJEB4606	SAMEA2189200	ERX314159	ERR341310	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/ERR341310/ERR341310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/ERR341310/ERR341310_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR341310/BV5D.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR341310/BV5D.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR341/ERR341310
