study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA439436	SAMN08766792	SRX3827764	SRR6874239	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/009/SRR6874239/SRR6874239_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/009/SRR6874239/SRR6874239_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/009/SRR6874239
PRJNA439436	SAMN08766632	SRX3827763	SRR6874240	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/000/SRR6874240/SRR6874240_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/000/SRR6874240/SRR6874240_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/000/SRR6874240
PRJNA439436	SAMN08766875	SRX3827762	SRR6874241	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/001/SRR6874241/SRR6874241_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/001/SRR6874241/SRR6874241_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/001/SRR6874241
PRJNA439436	SAMN08766889	SRX3827761	SRR6874242	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/002/SRR6874242/SRR6874242_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/002/SRR6874242/SRR6874242_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/002/SRR6874242
PRJNA439436	SAMN08766439	SRX3827760	SRR6874243	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/003/SRR6874243/SRR6874243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/003/SRR6874243/SRR6874243_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/003/SRR6874243
PRJNA439436	SAMN08766522	SRX3827759	SRR6874244	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/004/SRR6874244/SRR6874244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/004/SRR6874244/SRR6874244_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/004/SRR6874244
PRJNA439436	SAMN08766643	SRX3827758	SRR6874245	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/005/SRR6874245/SRR6874245_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/005/SRR6874245/SRR6874245_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/005/SRR6874245
PRJNA439436	SAMN08766810	SRX3827757	SRR6874246	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/006/SRR6874246/SRR6874246_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/006/SRR6874246/SRR6874246_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/006/SRR6874246
PRJNA439436	SAMN08766932	SRX3827756	SRR6874247	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/007/SRR6874247/SRR6874247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/007/SRR6874247/SRR6874247_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/007/SRR6874247
PRJNA439436	SAMN08766900	SRX3827755	SRR6874248	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/008/SRR6874248/SRR6874248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/008/SRR6874248/SRR6874248_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/008/SRR6874248
PRJNA439436	SAMN08766771	SRX3827754	SRR6874249	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/009/SRR6874249/SRR6874249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/009/SRR6874249/SRR6874249_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/009/SRR6874249
PRJNA439436	SAMN08766963	SRX3827753	SRR6874250	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/000/SRR6874250/SRR6874250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/000/SRR6874250/SRR6874250_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/000/SRR6874250
PRJNA439436	SAMN08766772	SRX3827752	SRR6874251	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/001/SRR6874251/SRR6874251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/001/SRR6874251/SRR6874251_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/001/SRR6874251
PRJNA439436	SAMN08766635	SRX3827751	SRR6874252	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/002/SRR6874252/SRR6874252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/002/SRR6874252/SRR6874252_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/002/SRR6874252
PRJNA439436	SAMN08766507	SRX3827750	SRR6874253	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/003/SRR6874253/SRR6874253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/003/SRR6874253/SRR6874253_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/003/SRR6874253
PRJNA439436	SAMN08766511	SRX3827749	SRR6874254	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/004/SRR6874254/SRR6874254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/004/SRR6874254/SRR6874254_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/004/SRR6874254
PRJNA439436	SAMN08766732	SRX3827748	SRR6874255	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/005/SRR6874255/SRR6874255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/005/SRR6874255/SRR6874255_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/005/SRR6874255
PRJNA439436	SAMN08766515	SRX3827747	SRR6874256	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/006/SRR6874256/SRR6874256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/006/SRR6874256/SRR6874256_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/006/SRR6874256
PRJNA439436	SAMN08766908	SRX3827746	SRR6874257	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/007/SRR6874257/SRR6874257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/007/SRR6874257/SRR6874257_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/007/SRR6874257
PRJNA439436	SAMN08766902	SRX3827745	SRR6874258	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/008/SRR6874258/SRR6874258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/008/SRR6874258/SRR6874258_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/008/SRR6874258
PRJNA439436	SAMN08766790	SRX3827744	SRR6874259	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/009/SRR6874259/SRR6874259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/009/SRR6874259/SRR6874259_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/009/SRR6874259
PRJNA439436	SAMN08766847	SRX3827743	SRR6874260	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/000/SRR6874260/SRR6874260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/000/SRR6874260/SRR6874260_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/000/SRR6874260
PRJNA439436	SAMN08766435	SRX3827742	SRR6874261	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/001/SRR6874261/SRR6874261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/001/SRR6874261/SRR6874261_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/001/SRR6874261
PRJNA439436	SAMN08766442	SRX3827741	SRR6874262	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/002/SRR6874262/SRR6874262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/002/SRR6874262/SRR6874262_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/002/SRR6874262
PRJNA439436	SAMN08766464	SRX3827740	SRR6874263	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/003/SRR6874263/SRR6874263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/003/SRR6874263/SRR6874263_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/003/SRR6874263
PRJNA439436	SAMN08766431	SRX3827739	SRR6874264	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/004/SRR6874264/SRR6874264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/004/SRR6874264/SRR6874264_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/004/SRR6874264
PRJNA439436	SAMN08766702	SRX3827738	SRR6874265	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/005/SRR6874265/SRR6874265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/005/SRR6874265/SRR6874265_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/005/SRR6874265
PRJNA439436	SAMN08766554	SRX3827737	SRR6874266	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/006/SRR6874266/SRR6874266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/006/SRR6874266/SRR6874266_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/006/SRR6874266
PRJNA439436	SAMN08766646	SRX3827736	SRR6874267	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/007/SRR6874267/SRR6874267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/007/SRR6874267/SRR6874267_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/007/SRR6874267
PRJNA439436	SAMN08766843	SRX3827735	SRR6874268	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/008/SRR6874268/SRR6874268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/008/SRR6874268/SRR6874268_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR687/008/SRR6874268
